Plate,Well ,Nutrients,Treatment,area_LM_day00,area_SP_day00,area_WB_day00,area_TOT_day00,comp_LM_day00,comp_SP_day00,comp_WB_day00,area_LM_day02,area_SP_day02,area_WB_day02,area_TOT_day02,comp_LM_day02,comp_SP_day02,comp_WB_day02,area_LM_day04,area_SP_day04,area_WB_day04,area_TOT_day04,comp_LM_day04,comp_SP_day04,comp_WB_day04,area_LM_day06,area_SP_day06,area_WB_day06,area_TOT_day06,comp_LM_day06,comp_SP_day06,comp_WB_day06,area_LM_day08,area_SP_day08,area_WB_day08,area_TOT_day08,comp_LM_day08,comp_SP_day08,comp_WB_day08,area_LM_day10,area_SP_day10,area_WB_day10,area_TOT_day10,comp_LM_day10,comp_SP_day10,comp_WB_day10
D,2,high,SP,0,61.64,0,61.64,0,100,0,0,72.502,0,72.502,0,100,0,0,83.218,0,83.218,0,100,0,0,138.949,0,138.949,0,100,0,0,243.344,0,243.344,0,100,0,0,350.656,0,350.656,0,100,0
D,3,high,WB,0,0,76.611,76.611,0,0,100,0,0,116.066,116.066,0,0,100,0,0,183.023,183.023,0,0,100,0,0,341.817,341.817,0,0,100,0,0,391.347,391.347,0,0,100,0,0,374.507,374.507,0,0,100
D,4,low,LM,59.023,0,0,59.023,100,0,0,70.759,0,0,70.759,100,0,0,81.506,0,0,81.506,100,0,0,102.066,0,0,102.066,100,0,0,106.773,0,0,106.773,100,0,0,99.625,0,0,99.625,100,0,0
D,5,low,SP,0,74.133,0,74.133,0,100,0,0,79.287,0,79.287,0,100,0,0,87.307,0,87.307,0,100,0,0,97.793,0,97.793,0,100,0,0,105.191,0,105.191,0,100,0,0,108.157,0,108.157,0,100,0
D,6,low,WB,0,0,74.262,74.262,0,0,100,0,0,100.844,100.844,0,0,100,0,0,73.986,73.986,0,0,100,0,0,102.943,102.943,0,0,100,0,0,88.36,88.36,0,0,100,0,0,68.032,68.032,0,0,100
E,1,low,LM & SP,30.398,76.967,0,107.365,28.31276487,71.68723513,0,37.407,86.309,0,123.716,30.2361861,69.7638139,0,52.41,95.769,0,148.179,35.36938433,64.63061567,0,57.357,109.881,0,167.238,34.29663115,65.70336885,0,65.956,115.538,0,181.494,36.34059528,63.65940472,0,62.936,90.406,0,153.342,41.04289758,58.95710242,0
E,2,low,LM & WB,33.43,0,40.691,74.121,45.10192793,0,54.89807207,43.701,0,57.263,100.964,43.2837447,0,56.7162553,55.195,0,51.615,106.81,51.67587305,0,48.32412695,60.641,0,46.393,107.034,56.65582899,0,43.34417101,70.261,0,53.145,123.406,56.93483299,0,43.06516701,73.865,0,41.809,115.674,63.85618203,0,36.14381797
E,3,low,SP & WB,0,31.948,43.272,75.22,0,42.47274661,57.52725339,0,38.422,57.509,95.931,0,40.05170383,59.94829617,0,40.807,52.845,93.652,0,43.57301499,56.42698501,0,40.825,44.169,84.994,0,48.03280232,51.96719768,0,46.71,48.218,94.928,0,49.2057138,50.7942862,0,44.962,43.189,88.151,0,51.00566074,48.99433926
E,4,high,LM & SP,32.468,32.145,0,64.613,50.2499497,49.7500503,0,58.012,43.11,0,101.122,57.36832737,42.63167263,0,113.114,89.112,0,202.226,55.93444958,44.06555042,0,196.202,158.349,0,354.551,55.3381601,44.6618399,0,287.709,219.456,0,507.165,56.72887522,43.27112478,0,359.423,258.442,0,617.865,58.17176891,41.82823109,0
E,5,high,LM & WB,34.814,0,33.96,68.774,50.62087417,0,49.37912583,60.267,0,50.507,110.774,54.40536588,0,45.59463412,112.648,0,93.735,206.383,54.58201499,0,45.41798501,180.233,0,142.929,323.162,55.77171821,0,44.22828179,282.759,0,186.436,469.195,60.2647087,0,39.7352913,356.263,0,156.737,513,69.44697856,0,30.55302144
